Location,Plot,Treat,Rep,ABG_V3,RootDW_V3,LeafArea_V3,PH_V3,Root_tips,Root_length,Average_diameter,Root_volume,Root_SA
TV,161,HV,1,10.01,4.93,317.21,13.6,353.8,2272.866299,1.19388926,5482.371182,8384.153516
TV,162,MV,1,12,3.22,321.11,15.4,203.52,1002.091064,1.2269928,2549.385496,3733.5501
TV,163,LV,1,12.14,3.76,254.37,14.1,336.88,1760.235452,1.08491138,3224.040927,5863.283615
TV,164,LV,2,9.34,2.86,267.93,11.5,195.8,1229.260333,1.13792984,2532.11458,4316.527439
TV,165,HV,2,11.89,4.12,251.15,13.3,212.76,1674.412595,1.19396996,3929.300097,6214.786456
TV,166,MV,2,12.88,5.04,206.51,13.8,472.86,2426.932002,1.05866712,4461.005135,8007.769858
TV,167,HV,3,7.95,3.7,276.45,13.1,310.68,2075.892801,1.12004042,3998.294875,7244.4992
TV,168,MV,3,7.96,3.9,271.76,12.7,336.62,2279.782005,1.16043138,4683.409065,8225.233478
TV,169,LV,3,10.23,3.93,202.91,12.7,404.82,2319.850532,0.9719457,3312.956861,7008.484838
TV,170,MV,4,13.62,3.89,135.65,13.0,243.02,1397.917244,1.04710796,2346.264815,4467.194015
TV,171,LV,4,9.6,3.02,217.27,12.5,268.86,1424.876742,1.01298732,2320.344786,4512.903568
TV,172,HV,4,12.8,3.11,146.81,14.0,236.16,1241.479598,1.0800356,2440.319445,4182.089579
TV,173,MV,5,14.09,3.73,312.72,14.2,223.1,1357.355912,1.04888138,2521.580322,4437.537917
TV,174,LV,5,13.13,4.39,285.62,12.3,394.8,2149.383524,1.02664672,3494.416914,6813.053309
TV,175,HV,5,12.5,4.05,221.90,12.7,356.5,1839.451455,1.01744664,3155.179282,5822.434155
EVS,261,HV,1,17.84,4.69,200.54,18.4,167.74,1336.175795,1.25097014,3092.830375,4915.54675
EVS,262,MV,1,17.01,5.38,189.42,17.2,166.88,1211.982888,1.34833114,3440.537026,4951.188093
EVS,263,LV,1,11.87,3.88,185.77,15.6,120.02,884.0804344,1.30586468,2197.131715,3406.67843
EVS,264,LV,2,7.65,3.52,221.99,12.5,142.46,1199.646621,1.2632238,2997.31803,4525.294571
EVS,265,MV,2,7.6,3.35,202.75,13.3,102.38,972.805314,1.301173178,2496.99849,3899.865113
EVS,266,HV,2,11.21,3.66,237.09,15.7,163.16,1220.761725,1.20509422,2890.234529,4557.182174
EVS,267,LV,3,15.17,4.22,226.80,16.6,183.68,1496.212451,1.167135,3085.895669,5319.133006
EVS,268,HV,3,18.37,4.33,235.28,18.6,117.6,1027.234993,1.383875244,3105.148833,4264.360773
EVS,269,MV,3,6.61,2.45,225.33,13.4,83.04,734.8077165,1.3009525,1824.894709,2903.763807
EVS,270,HV,4,7.39,2.5,189.87,13.6,97.96,848.4431262,1.16999502,1648.171326,3026.734095
EVS,271,MV,4,5.49,1.85,172.76,13.0,100.58,699.4020912,1.16194536,1289.14758,2424.365052
EVS,272,LV,4,4.78,2.05,188.43,12.6,100.76,764.8815638,1.20404802,1544.388053,2755.622671
EVS,273,HV,5,9.73,1.74,214.34,14.6,157.74,1367.212069,1.06958536,2250.557572,4453.821285
EVS,274,LV,5,7.66,2.49,151.12,14.0,109.58,884.9056233,1.16778094,1787.426292,3138.547029
EVS,275,MV,5,4.88,3.5,179.86,13.8,108.66,818.002246,1.05849436,1285.231744,2649.720007
PT,361,MV,1,9.6,3.01,190.72,14.2,204.64,1353.201385,1.04046178,2271.952842,4360.792925
PT,362,LV,1,11.3,3.3,196.14,13.2,164.52,1123.175877,1.1692692,2311.441305,3930.011166
PT,363,MV,2,8.73,2.85,146.20,13.0,148.08,1110.905113,1.1638748,2313.812521,3948.365529
PT,364,HV,1,6.59,2.41,137.30,14.0,132.7,1001.927155,1.19526164,2177.49122,3652.131119
PT,365,LV,2,8.02,3.25,151.02,13.5,204.14,1600.631892,1.11081906,3121.35579,5409.992836
PT,366,LV,3,8.58,3.13,144.79,14.0,165.5,1366.800195,1.18333696,3011.039678,4919.739563
PT,367,MV,3,10.25,3.1,142.60,15.1,120.68,1098.297599,1.2071262,2632.249445,4087.458576
PT,368,HV,2,7.08,2,172.23,12.4,143.46,977.0542139,1.06615592,1707.677139,3172.382121
PT,369,HV,3,9.08,3.42,198.24,15.0,181.18,1413.831556,1.12279956,2858.313024,4832.62063
PT,370,MV,4,13.06,3.77,186.21,16.7,238.66,1684.455076,1.0749325,3295.317591,5545.193249
PT,371,LV,4,11.91,4.12,194.56,14.0,216.82,1688.877245,1.16205924,3630.032948,5972.035449
PT,372,HV,4,11.15,3.74,204.90,15.2,150.72,1307.327367,1.22331478,3139.54721,4911.698582
PT,373,MV,5,7.96,3.94,171.00,14.1,152.8,1497.145251,1.27337846,3846.55836,5865.727922
PT,374,LV,5,11.22,3.45,172.68,15.3,137.84,1160.576034,1.25522762,3006.938241,4435.318797
PT,375,HV,5,11.9,3.95,172.92,15.9,164.96,1394.280877,1.16442568,2848.187295,4905.57792
