Location,Treat,Rep,Root_tips,Root_length,Average_diameter,Root_volume,Root_SA
TV,HV,1,353.8,2272.866299,1.19388926,5482.371182,8384.153516
TV,MV,1,203.52,1002.091064,1.2269928,2549.385496,3733.5501
TV,LV,1,336.88,1760.235452,1.08491138,3224.040927,5863.283615
TV,LV,2,195.8,1229.260333,1.13792984,2532.11458,4316.527439
TV,HV,2,212.76,1674.412595,1.19396996,3929.300097,6214.786456
TV,MV,2,472.86,2426.932002,1.05866712,4461.005135,8007.769858
TV,HV,3,310.68,2075.892801,1.12004042,3998.294875,7244.4992
TV,MV,3,336.62,2279.782005,1.16043138,4683.409065,8225.233478
TV,LV,3,404.82,2319.850532,0.9719457,3312.956861,7008.484838
TV,MV,4,243.02,1397.917244,1.04710796,2346.264815,4467.194015
TV,LV,4,268.86,1424.876742,1.01298732,2320.344786,4512.903568
TV,HV,4,236.16,1241.479598,1.0800356,2440.319445,4182.089579
TV,MV,5,223.1,1357.355912,1.04888138,2521.580322,4437.537917
TV,LV,5,394.8,2149.383524,1.02664672,3494.416914,6813.053309
TV,HV,5,356.5,1839.451455,1.01744664,3155.179282,5822.434155
EVS,HV,1,167.74,1336.175795,1.25097014,3092.830375,4915.54675
EVS,MV,1,166.88,1211.982888,1.34833114,3440.537026,4951.188093
EVS,LV,1,120.02,884.0804344,1.30586468,2197.131715,3406.67843
EVS,LV,2,142.46,1199.646621,1.2632238,2997.31803,4525.294571
EVS,MV,2,102.38,972.805314,1.301173178,2496.99849,3899.865113
EVS,HV,2,163.16,1220.761725,1.20509422,2890.234529,4557.182174
EVS,LV,3,183.68,1496.212451,1.167135,3085.895669,5319.133006
EVS,HV,3,117.6,1027.234993,1.383875244,3105.148833,4264.360773
EVS,MV,3,83.04,734.8077165,1.3009525,1824.894709,2903.763807
EVS,HV,4,97.96,848.4431262,1.16999502,1648.171326,3026.734095
EVS,MV,4,100.58,699.4020912,1.16194536,1289.14758,2424.365052
EVS,LV,4,100.76,764.8815638,1.20404802,1544.388053,2755.622671
EVS,HV,5,157.74,1367.212069,1.06958536,2250.557572,4453.821285
EVS,LV,5,109.58,884.9056233,1.16778094,1787.426292,3138.547029
EVS,MV,5,108.66,818.002246,1.05849436,1285.231744,2649.720007
PT,MV,1,204.64,1353.201385,1.04046178,2271.952842,4360.792925
PT,LV,1,164.52,1123.175877,1.1692692,2311.441305,3930.011166
PT,MV,2,148.08,1110.905113,1.1638748,2313.812521,3948.365529
PT,HV,1,132.7,1001.927155,1.19526164,2177.49122,3652.131119
PT,LV,2,204.14,1600.631892,1.11081906,3121.35579,5409.992836
PT,LV,3,165.5,1366.800195,1.18333696,3011.039678,4919.739563
PT,MV,3,120.68,1098.297599,1.2071262,2632.249445,4087.458576
PT,HV,2,143.46,977.0542139,1.06615592,1707.677139,3172.382121
PT,HV,3,181.18,1413.831556,1.12279956,2858.313024,4832.62063
PT,MV,4,238.66,1684.455076,1.0749325,3295.317591,5545.193249
PT,LV,4,216.82,1688.877245,1.16205924,3630.032948,5972.035449
PT,HV,4,150.72,1307.327367,1.22331478,3139.54721,4911.698582
PT,MV,5,152.8,1497.145251,1.27337846,3846.55836,5865.727922
PT,LV,5,137.84,1160.576034,1.25522762,3006.938241,4435.318797
PT,HV,5,164.96,1394.280877,1.16442568,2848.187295,4905.57792
